Hash,Date,Author,Message,IsMerge
40195b4e98c5a40f88b353687edea170785b2d32,2020-10-02 03:16:54,Asabeneh,Day_2,False
a2237ad27fc4193f248a8e195b07129cbc3e0bf5,2020-10-02 03:04:15,Asabeneh,Day_2,False
888ba010b3a007763417af7f98b98a692ac2de37,2020-10-02 02:41:26,Asabeneh,Day_2,False
4928f45e6f467490c5658278d7e68727b2ec1b2a,2020-10-02 02:35:31,Asabeneh,Day_2,False
9b976836a7662ce43f3f22bdf159f1acb1701154,2020-10-02 02:33:25,Asabeneh,Day_2,False
84834f971d9dd82da0bd0d8039a7af94a8b9d801,2020-10-01 23:46:56,Asabeneh,"Day_1 has been modified, DOM section has been added",False
af018df3c32b0860072f92c653879bb86ad66169,2020-10-01 08:24:04,Asabeneh,syntax fixes,False
e9b86a6b88e24ad1a8b85931ef7c5468dd524ed2,2020-10-01 08:18:50,Asabeneh,Day_1,True
81413f8209a828459ca9b657e5009ed835b41cea,2020-10-01 08:17:21,Asabeneh,Day_1,True
6ce6b8ac1a18f16c5a3c9b1b0f31113a42eb40d4,2020-10-01 08:09:35,Asabeneh,Day_1,True
d4b88bed6c069d0f298270069ec3f181ca829b3f,2020-10-01 08:08:38,Asabeneh,Day_1,False
d5ac5653f3711898b4b03bb689fd1932a00bb025,2020-10-01 08:04:56,Asabeneh,Day_1,False
fb951ff4023a5ff79507b20caa59ae4651675b9c,2020-10-01 07:52:34,Asabeneh,Day_1,False
5e501c46376a4ee299ea816feb18a833b45aa31f,2020-10-01 05:51:51,Asabeneh,Day_1,False
412c2cdc21e0c187d89e6bfcf67bbfe068e4774a,2020-10-01 05:48:06,Asabeneh,Day_1,False
