Hash,Date,Author,Message,IsMerge
6e62e1e8df7b907beaa37a3182752d310314589f,2018-08-31 11:03:55,John-David Dalton,Cleanup ReDoS test.,False
5c08f18d365b64063bfbfa686cbb97cdd6267347,2018-08-31 10:37:27,Manuel Jasso,"Prevent ReDoS

To fix https://github.com/lodash/lodash/issues/3359, modified reHasUnicodeWord to remove an unnecessary comma which made the regex greedy, this is only a test regex and not a matching regex. Added unit tests, this now should run under 5 ms instead of over 1000 ms for huge 50k+ char words.",False
90e6199a161b6445b01454517b40ef65ebecd2ad,2018-08-31 10:36:15,John-David Dalton,Ensure Object.prototype is not augmented by _.merge.,False
67389a8c78975d97505fa15aa79bec6397749807,2018-04-25 03:57:33,John-David Dalton,Bump to v4.17.10.,False
a65fd336038da55fbda8605808f96178497ccfd5,2018-04-25 03:56:43,John-David Dalton,Rebuild lodash and docs.,False
b00210043360e4a22623d30f859f7f1c06b000ac,2018-04-24 22:59:57,John-David Dalton,Bump to v4.17.9.,False
4680cdacc087de9c07c681711fc4b4ac73fa181b,2018-04-24 22:59:50,John-David Dalton,Rebuild lodash and docs.,False
852988e04ac438da47edb7f96bf66ccc24a63023,2018-04-24 22:58:01,John-David Dalton,"Use util.types to migrate DEP0103 in Node.js.

PR: #3704",False
97e9edc53d2cc55df7adf765a003c800c54a6bda,2018-02-04 12:05:31,John-David Dalton,Bump to v4.17.5.,False
ce32a89e3e7940def6bfc1c1cbf2feef9759e847,2018-02-04 12:05:25,John-David Dalton,Rebuild lodash and docs.,False
5e58cd216c567f0bccfc2058f5a5ed0d2948333e,2018-02-04 10:55:41,John-David Dalton,Fix style nits.,False
5adb4ee95ca381422c8920c072836453ab0c5c94,2018-02-04 10:55:41,John-David Dalton,Make _.defaults avoid accessing property values it doesn't need to. [closes #2983],False
a73b92b58e8970031664286263a623f272886a42,2018-02-04 10:55:41,John-David Dalton,Avoid using the values toString method in _.invert if it’s not a function. [closes #3260],False
a1b53054d68c3447ded11f50e892b863b489a9bd,2018-02-04 10:55:31,John-David Dalton,Add 4.17.5 branch to travis.,False
dac890a21139294e67591c9a1532345f3720cc5e,2018-02-03 07:40:02,John-David Dalton,Enable _.words to detect ordinals in compound words. [closes #3561],False
7167a78644120a72863b32a414bac84ac6cfaa61,2018-02-03 07:40:01,John-David Dalton,Replacing a regex in `stringToPath` with a quick character code check. (#3308),False
f83197727b77f89594b770458618a70cbc608a13,2018-02-03 07:40:01,John-David Dalton,Avoid shadowing `result` in `remainingWait`. (#3280),False
20c5307542cd255d5b1f96e35f4c2da264a7da3c,2018-02-03 07:40:01,John-David Dalton,stringToPath: avoid shadowing variable. (#3226),False
45ac7f3bccb9d9d1374c59a22bbb5d4b17bebb28,2018-02-03 07:40:01,John-David Dalton,Support symbols in property paths of `set`. [closes #3189],False
7cb477a3a055c9ba35fa9a7e0f6366fe4f614b3c,2018-02-03 07:40:01,John-David Dalton,Use `new` to create the array clone.,False
b8c719d3be6a40eb5c860cad7021fed4464e7a86,2018-02-03 07:39:54,John-David Dalton,Fix cloneDeep with circularly dependent Sets/Maps. [closes #3122],False
d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,2018-01-31 12:51:12,John-David Dalton,Avoid merging properties on to __proto__ objects.,False
5a3ff73997b773a28a5a160b95acfd133a8162e7,2017-06-14 19:47:44,John-David Dalton,Ensure `cloneByPath` preserves uncloneable values. [closes #3203],False
912d6b04a1f6b732508a6da72a95ec4f96bda154,2017-01-06 21:21:17,John-David Dalton,Bump to v4.17.4.,False
165572022d58d3e39e928b33ff9b9589cc60b67b,2017-01-06 21:20:36,John-David Dalton,Rebuild lodash and docs.,False
ae467c7313c2e10f88e5ba9038205aa675616db7,2017-01-06 21:20:36,John-David Dalton,Update deps.,False
